,Item ID,Item Name,Category,Subcategory,Verb,Primary Use,Description,Acquisition / Deployment,Act / Timing,Source Type,Battle Use?,Overworld Use?,Save / Journal Data?,Asset Need,Engine / Tiled Hook,Status,Priority,Notes
10,GR-GIL-001,Golden Scimitar,Guild Relic,The Gilded Vault,Slash,Heavy Blade,Golden glyph math circles and vault motifs,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,General slash / gold glyph puzzles later,Yes,Scimitar frame + glyph VFX,slash_gold_glyph_vfx,Approved,Medium,Finance identity
11,GR-HIG-001,Regent's Axe,Guild Relic,The High Council Hall,Slash,Heavy Blade,Royal gold-white authority magic,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,General heavy slash,Yes,Axe frame + authority VFX,slash_authority_vfx,Approved,Medium,Gov/Public Admin identity
12,GR-VAL-001,Peacekeeper's Mace,Guild Relic,Valor's Watchtower,Smash,Light Bludgeon,Royal gold-white authority magic,Guild HQ research reward,Act III discovery / Act IV trial-ready,Quest reward,Yes,Smash weak locks/crates later,Yes,Mace frame + hit spark,mace_hit_vfx,Approved,Medium,Law/Public Safety identity
13,GR-ODY-001,Swift Passage Raft,Guild Relic,Odyssey's Harbor,Float,Pull from backpack,Ocean-blue speed trails and wind FX,Guild HQ research reward,Act III discovery / Act IV traversal-ready,Quest reward,No,Cross shallow water / water routes,Yes,Raft sprite + water wake,raft_deploy_vfx; water_wake_vfx,Approved,High,Major traversal toy
14,GR-ARC-001,Librarian's Ladder,Guild Relic,The Archives of Ascension,Climb,Pull from backpack,Ladder to climb cliffs without a ramp,Guild HQ research reward,Act III discovery / Act IV traversal-ready,Quest reward,No,Climb cliffs/ledges where allowed,Yes,Ladder sprite,ladder_deploy_vfx,Approved,High,Major traversal toy
15,GR-BAR-001,Bard's Bridge,Guild Relic,The Bard's Beacon,Traverse,Pull from backpack,Bridge extends over water for safe travel,Guild HQ research reward,Act III discovery / Act IV traversal-ready,Quest reward,No,Bridge gaps or water crossings,Yes,Bridge extension sprite,bridge_deploy_vfx,Approved,High,Major traversal toy
16,FK-COM-001,Wayfinder Compass,Field Kit,Core Tool,Orient,Objective guidance,Points toward active quest/selected marker,Granted early,Act I or Act II,Main quest reward,No,Points to active quest target / marker,Yes,Compass UI icon + directional needle,compass_targeting_system,Approved,High,Must reduce wandering frustration
17,FK-LAN-001,Traveler's Lantern,Field Kit,Core Tool,Illuminate,Exploration light,Illuminates local area only for now,Granted early,Act I or Act II,Main quest reward,No,Light radius around Traveler,Yes,Lantern icon + light shader/circle,local_light_radius,Approved,High,Do not add reveal mechanics yet
18,FK-JOU-001,Field Journal,Field Kit,Core Tool,Remember,Documents/review hub,Replaces old Documents section,Granted with Scroll/Pause menu,Act I,System unlock,No,Review visited places/enemies/files,Yes,Journal UI tabs/icons,field_journal_screen,Approved,High,Must include Work Files + Journey Review
19,FK-MAR-001,Trail Markers,Field Kit,Navigation Tool,Mark,Player-made map marker,Drop/remove marker and route compass to it,Granted with World Atlas,Act II/III,Main quest reward,No,Mark current location on map,Yes,Marker icon variants,trail_marker_state,Approved,Medium,Limit count early to avoid clutter
20,FK-CAM-001,Campfire Kit,Field Kit,Save Tool,Rest / Save,Begins save ceremony,Make Camp sequence before fireside reflection/save,Granted before manual save,Act I,System unlock,No,Safe rest/save sequence,Yes,Campfire kit/campfire sparks,campfire_save_sequence,Approved,High,Renames Save button to Make Camp
21,SAT-REM-001,Remedy Herb,Satchel Consumable,Healing,Heal,Restore HP,Restores 8 HP,Enemy drop / exploration find,Act I+,Drop,Yes,No,Yes,Herb icon + heal sparkle,use_item_restore_hp,Approved,High,First healing consumable
22,SAT-REM-002,Greater Remedy,Satchel Consumable,Healing,Heal,Restore more HP,Restores 15 HP,Rare enemy drop,Act II+,Drop,Yes,No,Yes,Bundle herb icon,use_item_restore_hp_large,Planned,Medium,Do after base herb works
23,SAT-FOC-001,Focus Tea,Satchel Consumable,Knowledge Battle,Focus,Knowledge battle bonus,One hint/boost or increased success window,Enemy drop / reward,Act II+,Drop,Yes,No,Yes,Tea cup icon + focus pulse,knowledge_battle_focus_bonus,Approved,High,Supports quiz battles
24,SAT-WPN-001,Sharpening Stone,Satchel Consumable,Weapon Buff,Empower Weapon,Buff weapon attack,Next weapon attack deals bonus damage,Enemy drop,Act II+,Drop,Yes,No,Yes,Stone icon + weapon shine,next_weapon_attack_bonus,Approved,Medium,Weapon path support
25,SAT-MAG-001,Rune Oil,Satchel Consumable,Magic Buff,Empower Magic,Buff spell attack,Next magic attack deals bonus damage,Enemy drop,Act II+,Drop,Yes,No,Yes,Vial icon + rune glow,next_magic_attack_bonus,Approved,Medium,Magic path support
26,SAT-GUA-001,Guard Charm,Satchel Consumable,Defense,Guard,Reduce next damage,Reduces next hit taken,Enemy drop / chest,Act II+,Drop,Yes,No,Yes,Charm icon + shield flash,next_damage_reduction,Planned,Medium,Good for boss/roamer balance
27,SAT-EMB-001,Ember Spark,Satchel Consumable,Recharge,Recharge,Restore energy/magic,Small magic/energy recharge,Enemy drop / camp reward,Act II+,Drop,Yes,No,Yes,Spark icon + ember burst,restore_energy_small,Planned,Low,Only if energy/magic meter exists
28,SAT-CLA-001,Clarity Leaf,Satchel Consumable,Status Cleanse,Cleanse,Remove status,Removes Shaken/Confused,Enemy drop / exploration find,Act II+,Drop,Yes,No,Yes,Leaf icon + clear pulse,remove_status_effect,Planned,Low,Depends on status system
29,SAT-RAT-001,Trail Ration,Satchel Consumable,Sustain,Sustain,Small out-of-battle heal,Restores small HP outside battle,Exploration find,Act I+,Find,No,Yes,Yes,Ration icon,use_item_out_of_battle_heal,Planned,Low,Useful but not urgent
30,MEM-AET-001,Pressed Aethelwood Leaf,Memento,Realm Collectible,Collect,Display collectible,Found near Aethelwood Farmsteads,Exploration find,Act III,Find,No,No,Yes,Leaf icon,journal_memento_grid,Planned,Medium,Aethelwood collectible
31,MEM-MON-001,Chipped Masonry Rune,Memento,Realm Collectible,Collect,Display collectible,Found near Monolith of Masonry,Exploration find,Act III,Find,No,No,Yes,Stone rune icon,journal_memento_grid,Planned,Low,Architecture collectible
32,MEM-CHR-001,Chronicler's Ribbon,Memento,Realm Collectible,Collect,Display collectible,Found near Chronicler's Spire,Exploration find,Act III,Find,No,No,Yes,Ribbon icon,journal_memento_grid,Planned,Low,Arts collectible
33,MEM-MER-001,Merchant Seal,Memento,Realm Collectible,Collect,Display collectible,Found near Mercantile's Citadel,Exploration find,Act III,Find,No,No,Yes,Wax seal icon,journal_memento_grid,Planned,Low,Business collectible
34,MEM-ARC-001,Library Bookmark,Memento,Realm Collectible,Collect,Display collectible,Found near Archives of Ascension,Exploration find,Act III,Find,No,No,Yes,Bookmark icon,journal_memento_grid,Planned,Low,Education collectible
35,MEM-GIL-001,Vault Coin Impression,Memento,Realm Collectible,Collect,Display collectible,Found near Gilded Vault,Exploration find,Act III,Find,No,No,Yes,Coin imprint icon,journal_memento_grid,Planned,Low,Finance collectible; not spendable coin
36,MEM-HIG-001,Council Wax Seal,Memento,Realm Collectible,Collect,Display collectible,Found near High Council Hall,Exploration find,Act III,Find,No,No,Yes,Wax seal icon,journal_memento_grid,Planned,Low,Government collectible
37,MEM-AUR-001,Apothecary Herb Tag,Memento,Realm Collectible,Collect,Display collectible,Found near Aurora Apothecary,Exploration find,Act III,Find,No,No,Yes,Herb tag icon,journal_memento_grid,Planned,Low,Health Science collectible
38,MEM-CRO-001,Crossroads Ticket Stub,Memento,Realm Collectible,Collect,Display collectible,Found near Crossroads Haven,Exploration find,Act III,Find,No,No,Yes,Ticket icon,journal_memento_grid,Planned,Low,Hospitality collectible
39,MEM-EMP-001,Empath's Thread,Memento,Realm Collectible,Collect,Display collectible,Found near Empath's Enclave,Exploration find,Act III,Find,No,No,Yes,Thread icon,journal_memento_grid,Planned,Low,Human Services collectible
40,MEM-ETH-001,Etheric Circuit Shard,Memento,Realm Collectible,Collect,Display collectible,Found near Etheric Nexus,Exploration find,Act III,Find,No,No,Yes,Circuit shard icon,journal_memento_grid,Planned,Low,IT collectible
41,MEM-VAL-001,Watchtower Badge Fragment,Memento,Realm Collectible,Collect,Display collectible,Found near Valor's Watchtower,Exploration find,Act III,Find,No,No,Yes,Badge fragment icon,journal_memento_grid,Planned,Low,Law/Public Safety collectible
42,MEM-VUL-001,Forge Cinder,Memento,Realm Collectible,Collect,Display collectible,Found near Vulcanis Forge,Exploration find,Act III,Find,No,No,Yes,Cinder icon,journal_memento_grid,Planned,Low,Manufacturing collectible
43,MEM-BAR-001,Bard's Beacon Ticket Stub,Memento,Realm Collectible,Collect,Display collectible,Found near Bard's Beacon,Exploration find,Act III,Find,No,No,Yes,Beacon ticket icon,journal_memento_grid,Planned,Low,Marketing collectible
44,MEM-ALC-001,Star Chart Scrap,Memento,Realm Collectible,Collect,Display collectible,Found near Alchemical Observatory,Exploration find,Act III,Find,No,No,Yes,Star chart icon,journal_memento_grid,Planned,Low,STEM collectible
45,MEM-ODY-001,Harbor Shell,Memento,Realm Collectible,Collect,Display collectible,Found near Odyssey's Harbor,Exploration find,Act III,Find,No,No,Yes,Shell icon,journal_memento_grid,Planned,Low,Transportation collectible
46,COS-TIT-001,Traveler Title,Cosmetic,Profile Title,Express,Display earned title,Title shown on Manifest/Journal,Quest/milestone reward,Act I+,Reward,No,No,Yes,Text only,profile_title_field,Approved,High,Low-cost cosmetic; do first
47,COS-BAD-001,Journal Badge,Cosmetic,Badge,Express,Display badge icon,Badge shown in Field Journal,Realm/quest reward,Act II+,Reward,No,No,Yes,Badge icons,journal_badge_grid,Approved,High,Low-cost; no tilework
48,COS-MAR-001,Trail Marker Style,Cosmetic,Marker Skin,Express,Change marker icon,Alternate trail marker appearance,Memento/quest reward,Act III+,Reward,No,Yes,Yes,Marker icon variants,trail_marker_skin,Planned,Medium,Small UI/world sprite swap
49,COS-CAM-001,Campfire Flame Color,Cosmetic,Camp Style,Express,Tint campfire effect,Visual variant during Make Camp,Reflection streak/reward,Act III+,Reward,No,No,Yes,Particle/light tint,campfire_vfx_skin,Planned,Low,Do after campfire works
50,COS-CLO-001,Cloak Trim Color,Cosmetic,Sprite Tint,Express,Tint cloak accent,Traveler sprite accent palette,Milestone reward,Act III+,Reward,No,No,Yes,Sprite tint/palette,traveler_palette_variant,Planned,Medium,Avoid tilework; use tint/overlay
51,COS-BOR-001,Scroll Border Skin,Cosmetic,UI Skin,Express,Change Scroll frame,Manifest/Scroll decoration,Act completion reward,Act II+,Reward,No,No,Yes,UI border asset,scroll_border_skin,Planned,Low,Cheap and visible
52,VFX-HIT-001,Hit Spark,VFX / Environment,Combat VFX,Feedback,Weapon hit feedback,Appears when weapon attack connects,System VFX,Combat baseline,System,No,No,No,Animated spark sprite,on_weapon_hit_vfx,Approved,High,High game-feel value
53,VFX-RUN-001,Dust Puff,VFX / Environment,Movement VFX,Feedback,Movement feedback,Appears at start of run / dirt movement,Surface reaction,Exploration baseline,System,No,Yes,No,Dust puff sprite,surface_dirt_dust,Approved,High,Very useful for movement feel
54,VFX-MAG-001,Rune Burst,VFX / Environment,Combat VFX,Feedback,Magic hit feedback,Appears when spell connects,System VFX,Combat baseline,System,No,No,No,Rune burst sprite,on_magic_hit_vfx,Approved,High,Differentiates magic from weapon hits
55,VFX-GRA-001,Grass Rustle,VFX / Environment,Vegetation,React,Grass movement,Grass reacts to movement; tune down if brutish,Tiled reactive layer,Exploration baseline,System,No,Yes,No,Grass rustle frames,lh_reactive_grass,In Progress,High,Existing; needs tuning
56,VFX-CRO-001,Crop Sway,VFX / Environment,Vegetation,React,Crop reaction,Subtle sway when brushed or nearby,Tiled reactive layer,Act III map polish,System,No,Yes,No,Crop sway frames,lh_reactive_crop,Planned,Medium,Less dramatic than grass
57,VFX-BUS-001,Bush Shake,VFX / Environment,Vegetation,React,Bush reaction,Small shake on contact/interact with cooldown,Tiled reactive layer,Act III map polish,System,No,Yes,No,Bush shake frames,lh_reactive_bush,Planned,Medium,Avoid constant noise
58,VFX-BUG-001,Bug Scatter,VFX / Environment,Ambient Life,React,Ambient life reaction,Animated bugs scatter when Traveler approaches,Tiled ambient zone,Act III map polish,System,No,Yes,No,Bug animations,lh_ambient_bugs,Planned,Medium,Use existing animated bug assets
59,VFX-WAT-001,Water Ripple,VFX / Environment,Water,React,Water movement,Ripply feedback / animated water hook,Water tile/layer,Act III map polish,System,No,Yes,No,Water ripple frames,lh_water_animated,Planned,Medium,Use existing water animations
60,VFX-WIN-001,Wind Streak / Leaf Drift,VFX / Environment,Wind,React,Wind feedback,Light wind interaction / leaf drift,Tiled wind zone,Act III map polish,System,No,Yes,No,Leaf/wind sprites,lh_wind_light,Planned,Low,Works with windmill/wind mood
61,VFX-CAM-001,Campfire Sparks,VFX / Environment,Save Ceremony,Rest / Save,Camp save feedback,Sparks during Make Camp sequence,Campfire kit sequence,Act I+,System,No,No,No,Campfire spark sprite,campfire_save_vfx,Approved,High,Supports ritual weight
