"clip_id","sequence_id","page","page_count","speaker","trigger","file","text","voice_direction"
"master_scribe_mq_108__p04","master_scribe_mq_108","4","4","master_scribe","MQ-108 active or available","master_scribe_mq_108__p04.mp3","Return to Maia and seek your Foretold Signposts.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_109__p01","master_scribe_mq_109","1","2","master_scribe","MQ-109 active or available, before Scroll reveal","master_scribe_mq_109__p01.mp3","The Scroll has awakened.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_109__p02","master_scribe_mq_109","2","2","master_scribe","MQ-109 active or available, before Scroll reveal","master_scribe_mq_109__p02.mp3","Wait...","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_post_scroll_reveal__p01","master_scribe_post_scroll_reveal","1","4","master_scribe","Immediately after Scroll reveal cinematic","master_scribe_post_scroll_reveal__p01.mp3","This should not be here.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_post_scroll_reveal__p02","master_scribe_post_scroll_reveal","2","4","master_scribe","Immediately after Scroll reveal cinematic","master_scribe_post_scroll_reveal__p02.mp3","Your first signs are clear... but something else has marked the Scroll.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_post_scroll_reveal__p03","master_scribe_post_scroll_reveal","3","4","master_scribe","Immediately after Scroll reveal cinematic","master_scribe_post_scroll_reveal__p03.mp3","I can record what the Scroll reveals. I cannot interpret what has awakened beneath it.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_post_scroll_reveal__p04","master_scribe_post_scroll_reveal","4","4","master_scribe","Immediately after Scroll reveal cinematic","master_scribe_post_scroll_reveal__p04.mp3","The Oracle must see this. Find the shrine beyond the path, and return to me when her vision is complete.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_201__p01","master_scribe_mq_201","1","3","master_scribe","MQ-201 active or available","master_scribe_mq_201__p01.mp3","The Oracle Shrine lies beyond the Grey Commons.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_201__p02","master_scribe_mq_201","2","3","master_scribe","MQ-201 active or available","master_scribe_mq_201__p02.mp3","Seek it.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_201__p03","master_scribe_mq_201","3","3","master_scribe","MQ-201 active or available","master_scribe_mq_201__p03.mp3","The Scroll has awakened - but only the Oracle can make its runes legible.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p01","master_scribe_mq_202","1","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p01.mp3","You heard the Oracle.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p02","master_scribe_mq_202","2","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p02.mp3","The Runes have settled - and they may now be read.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p03","master_scribe_mq_202","3","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p03.mp3","Three Foretold Signposts are sealed on your Scroll.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p04","master_scribe_mq_202","4","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p04.mp3","They are not your destiny.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p05","master_scribe_mq_202","5","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p05.mp3","They are not a verdict.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p06","master_scribe_mq_202","6","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p06.mp3","They are the first roads asking to be examined.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p07","master_scribe_mq_202","7","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p07.mp3","The Oracle also burned a mark into your Scroll.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p08","master_scribe_mq_202","8","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p08.mp3","That mark is a link - a real-world research source about one of your signpost paths.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p09","master_scribe_mq_202","9","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p09.mp3","Open your Scroll of Destiny and look for the Oracle's brand.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p10","master_scribe_mq_202","10","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p10.mp3","Click it.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p11","master_scribe_mq_202","11","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p11.mp3","Read.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p12","master_scribe_mq_202","12","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p12.mp3","Take notes.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p13","master_scribe_mq_202","13","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p13.mp3","That is your next task: not choosing a career, but learning how a Traveler studies a road before walking it.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p14","master_scribe_mq_202","14","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p14.mp3","I have placed the Quest of Fate in your Field Journal.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p15","master_scribe_mq_202","15","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p15.mp3","Open the Scroll of Destiny, then Field Journal, then Work Files.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p16","master_scribe_mq_202","16","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p16.mp3","Your document will be waiting there.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_mq_202__p17","master_scribe_mq_202","17","17","master_scribe","MQ-202 active or available","master_scribe_mq_202__p17.mp3","When your teacher creates your personal copy in Google Drive, you will find a link in Work Files as well.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"master_scribe_fallback__p01","master_scribe_fallback","1","1","master_scribe","No Act I or Act II Scribe quest branch is active","master_scribe_fallback__p01.mp3","The guild roads are open, Traveler. Follow the Scroll of Destiny and gather evidence before choosing your path.","Distinct elderly female Scribe: low contralto, weathered and gently scratchy, measured, warm, authoritative."
"oracle_mq_201__p01","oracle_mq_201","1","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p01.mp3","Traveler of the Grey Commons...","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p02","oracle_mq_201","2","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p02.mp3","Your first signs have awakened.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p03","oracle_mq_201","3","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p03.mp3","Three runes burn upon your Scroll.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p04","oracle_mq_201","4","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p04.mp3","Not answers.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p05","oracle_mq_201","5","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p05.mp3","Not chains.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p06","oracle_mq_201","6","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p06.mp3","Signposts.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p07","oracle_mq_201","7","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p07.mp3","Do not choose from wonder.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p08","oracle_mq_201","8","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p08.mp3","Do not choose from fear.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p09","oracle_mq_201","9","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p09.mp3","Choose only after seeking evidence.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p10","oracle_mq_201","10","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p10.mp3","I do not speak my visions.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p11","oracle_mq_201","11","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p11.mp3","I reveal them through the Scroll.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_mq_201__p12","oracle_mq_201","12","12","oracle","Oracle NPC approached while MQ-201 is active or available","oracle_mq_201__p12.mp3","Open it here, at this altar.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_cinematic__p01","oracle_cinematic","1","3","oracle","Oracle awakening cinematic text overlays","oracle_cinematic__p01.mp3","The scroll hums in your hands...","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_cinematic__p02","oracle_cinematic","2","3","oracle","Oracle awakening cinematic text overlays","oracle_cinematic__p02.mp3","Your signposts stir...","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_cinematic__p03","oracle_cinematic","3","3","oracle","Oracle awakening cinematic text overlays","oracle_cinematic__p03.mp3","The threads of your fate converge...","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
"oracle_fallback__p01","oracle_fallback","1","1","oracle","MQ-201 is absent or locked; completed Oracle is dormant","oracle_fallback__p01.mp3","The signs are spoken, Traveler. The road is yours to walk.","Distinct ageless feminine Oracle: clear, serene, lightly ethereal, intimate, and unnervingly calm."
